#Taxa	NovC1	NovC2	NovC3	NovC4	NovC5	NovC6	NovC7	NovC8	NovC9	NovC10	JanC1	JanC2	JanC3	JanC4	JanC5	JanC6	JanC7	JanC8	JanC9	MarC1	MarC2	MarC3	MarC5	MarC6	MarC7	MarC8	MarC9	Taxonomy
OTU_345	6	1	18	8	4	2	2	10	5	15	2	9	2	5	0	1	1	5	1	1	1	2	0	0	0	0	4	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__unidentified_Veillonellaceae;s__Selenomonas_ruminantium
OTU_346	8	23	12	13	3	15	20	2	33	21	5	12	6	3	8	10	5	5	5	29	40	32	24	11	19	19	3	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__
OTU_347	26	6	9	6	238	94	0	9	1	7	0	0	2	2	0	2	4	2	0	5	0	0	21	12	0	9	14	k__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__;f__;g__;s__
OTU_348	2	4	13	0	17	4	4	2	3	4	13	1	4	5	2	2	3	1	10	4	10	12	10	6	0	5	6	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__
OTU_349	2	6	35	42	58	6	156	182	36	35	85	2	0	7	0	9	4	3	25	2	11	10	0	1	9	9	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_350	6	6	1	0	3	7	6	1	5	0	16	1	3	15	1	10	0	14	10	3	14	21	5	14	0	4	25	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_351	13	15	2	2	24	81	14	9	39	17	2	11	4	12	5	2	5	11	11	1	7	4	2	2	10	9	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__unidentified_Ruminococcaceae;s__bacterium_V9D2012
OTU_352	32	216	18	15	7	63	12	172	9	58	19	43	29	17	51	8	17	31	9	30	5	6	33	51	24	26	5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_353	14	21	16	71	42	85	47	34	190	46	19	31	24	9	11	21	38	38	42	38	66	25	22	19	34	37	23	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_354	2	4	21	6	3	10	16	0	41	31	3	9	8	9	10	12	13	19	11	4	19	4	4	8	9	11	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__
OTU_355	14	31	0	1	3	33	31	16	120	9	11	16	14	2	103	0	12	25	4	77	21	72	71	10	23	35	9	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_356	6	0	13	13	26	22	24	5	15	24	20	18	23	29	80	6	28	19	18	8	13	29	18	2	7	15	40	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Succiniclasticum;s__
