,NovC1,NovC2,NovC3,NovC4,NovC5,NovC6,NovC7,NovC8,NovC9,NovC10,JanC1,JanC2,JanC3,JanC4,JanC5,JanC6,JanC7,JanC8,JanC9,MarC1,MarC2,MarC3,MarC5,MarC6,MarC7,MarC8,MarC9
JanC1,0.00698712578161197,0.00446212324079644,0.00552247894094086,0.00441311636240546,0.00324587849989441,0.0042917163466675,0.00439422923864939,0.00543966843803897,0.00387923369159929,0.00290475587673694,0,0.00348643719539445,0.00117918595302249,0.00134221775480616,0.00400798384886659,0.006057259322104,0.00154232694480179,0.00304434194047957,0.00167877843570756,0.00736812526905986,0.00578755269390286,0.00647601282837921,0.00551085677432084,0.00807221352440876,0.00505291230638023,0.00276080729617611,0.00654600876162864
JanC2,0.00716259695522729,0.00389877799092529,0.0048081838540233,0.00579525060828854,0.00457853035392032,0.00543115043459599,0.00487308953026093,0.00442852602331749,0.00531578970784476,0.00492842268377446,0.00348643719539445,0,0.00174897445798748,0.0030008170254179,0.0013648496250899,0.00140228038472754,0.00177472143927913,0.00156374105790632,0.00132338232665805,0.0053103555084645,0.00325721966078098,0.00445377454095743,0.00351741676552324,0.00471648791257232,0.00512847387982633,0.00299677674830421,0.00571023637295277
JanC3,0.0298778617633245,0.00530595347057137,0.00566027637072737,0.00473873471201723,0.00294899134058201,0.00489481927066922,0.00686400028187668,0.00580206575678059,0.005765973738641,0.00916254699577239,0.00117918595302249,0.00174897445798748,0,0.00156555430635646,0.0017222637817584,0.00208813442820093,0.00147121090957626,0.00138916452670099,0.00168362671363646,0.0255144548136654,0.00301821540843774,0.00185607677998749,0.00271848669408549,0.026051962590342,0.0036874351802678,0.00179838631655363,0.00382415005620066
JanC4,0.00797652445844712,0.00806899591716388,0.00962657584030108,0.00700179014288463,0.00691853263639361,0.00844272653522425,0.0068407164512308,0.0073302604785436,0.00817282157833687,0.00840478752903399,0.00134221775480616,0.0030008170254179,0.00156555430635646,0,0.00573322682232621,0.00410545167934405,0.00292412751864695,0.00201491616267289,0.00595503809361055,0.00712070519103031,0.00441877093022359,0.00693481200590955,0.00464562604314433,0.00784273081682133,0.00650273403152106,0.0048292907692469,0.00426730088905974
JanC5,0.00532147225446246,0.00382309417612312,0.00425895214318404,0.00452325674756325,0.00307056353470276,0.00412692485885164,0.00456258333558061,0.00316326735666933,0.00329737008261002,0.00483329984805107,0.00400798384886659,0.0013648496250899,0.0017222637817584,0.00573322682232621,0,0.00135806594460532,0.00292387632929855,0.00108401347612922,0.00281244567026895,0.00294854477402416,0.0025311082574496,0.0023009569415982,0.00281917610278354,0.00346308386049869,0.00329978514451056,0.00190587704970576,0.00365185493538445
JanC6,0.00621843601318821,0.00621700380523428,0.00446174600582591,0.00657772024136715,0.00413039563760355,0.00496332274673292,0.00647615003795195,0.00447072860380893,0.00620892430812715,0.00527345755733013,0.006057259322104,0.00140228038472754,0.00208813442820093,0.00410545167934405,0.00135806594460532,0,0.00204602156302193,0.00090704608734986,0.00240884408398564,0.00305396782181992,0.00370075470415032,0.00221255208345286,0.00225118285424276,0.00176481065182269,0.00610773216283997,0.00136910454931393,0.00527685230842876
JanC7,0.00765065297563004,0.00360347075847067,0.0037346878431783,0.00465175939650466,0.00324063332710399,0.00308396918704808,0.00297230351351657,0.00329243949282354,0.00355606581920502,0.00563589518801144,0.00154232694480179,0.00177472143927913,0.00147121090957626,0.00292412751864695,0.00292387632929855,0.00204602156302193,0,0.00173823554127216,0.00237846459290787,0.00388204471765908,0.00314030424256366,0.00477104414840763,0.00275527973107798,0.00439808643527453,0.00249712420315178,0.00343485999791081,0.00487758096457718
JanC8,0.0147240561566175,0.00455873274685688,0.00557574146683185,0.00482854314177767,0.00344151556095694,0.0043594339708097,0.00687785016175061,0.005633837556361,0.00415305812625084,0.00364089023536269,0.00304434194047957,0.00156374105790632,0.00138916452670099,0.00201491616267289,0.00108401347612922,0.00090704608734986,0.00173823554127216,0,0.00129386732604004,0.00377186582331389,0.00264422766422477,0.00239187125249734,0.0019951241992631,0.00390676098844706,0.00416211527687842,0.00118226880345849,0.0029845965871704
JanC9,0.00667517791974991,0.00902228184415483,0.00690774342207532,0.005459155268985,0.00452758318742126,0.0090646760493369,0.00792889278964121,0.00365528152912221,0.00600972639840737,0.00452524811427743,0.00167877843570756,0.00132338232665805,0.00168362671363646,0.00595503809361055,0.00281244567026895,0.00240884408398564,0.00237846459290787,0.00129386732604004,0,0.00360076568184029,0.0067326080470755,0.00314812966182599,0.00306818429147057,0.00580907660578706,0.00419423806087188,0.00195408475948402,0.0025880413183818
MarC1,0.00707886204958474,0.00516122522245896,0.0101360752762357,0.00782873002547345,0.00668560537834718,0.00808852709744932,0.00639479225114817,0.00408597096289588,0.00538452048459946,0.00616328956588758,0.00736812526905986,0.0053103555084645,0.0255144548136654,0.00712070519103031,0.00294854477402416,0.00305396782181992,0.00388204471765908,0.00377186582331389,0.00360076568184029,0,0.00358664070450226,0.00183876483264719,0.00158702739851878,0.00283751508073972,0.00479023454299292,0.00210048818082208,0.00394333304535517
MarC2,0.00788230837303213,0.0055850778592329,0.00640461500867898,0.00707089183033793,0.00536748871545058,0.00516741876494507,0.00577587630679042,0.00395834470584204,0.00780325813543318,0.00413689315685292,0.00578755269390286,0.00325721966078098,0.00301821540843774,0.00441877093022359,0.0025311082574496,0.00370075470415032,0.00314030424256366,0.00264422766422477,0.0067326080470755,0.00358664070450226,0,0.00410216800380934,0.00269138338297259,0.00369335049394449,0.00144710455223261,0.00232226315501418,0.00214411407446888
MarC3,0.00870837663443637,0.00633338497952678,0.00597445671401357,0.0105158092911042,0.00372269468364265,0.00745683554047672,0.0101400620005634,0.00520610927859776,0.00698305333447269,0.008543881145758,0.00647601282837921,0.00445377454095743,0.00185607677998749,0.00693481200590955,0.0023009569415982,0.00221255208345286,0.00477104414840763,0.00239187125249734,0.00314812966182599,0.00183876483264719,0.00410216800380934,0,0.00190263202293195,0.00261466120365455,0.00341140495872187,0.00115889106749223,0.00307734383078572
MarC5,0.00641230113691202,0.00424929502585794,0.00499982547808988,0.00531208885634242,0.00328879090201608,0.00493410954870061,0.00515254804036437,0.00655308265712526,0.00402327885888121,0.00358431305880559,0.00551085677432084,0.00351741676552324,0.00271848669408549,0.00464562604314433,0.00281917610278354,0.00225118285424276,0.00275527973107798,0.0019951241992631,0.00306818429147057,0.00158702739851878,0.00269138338297259,0.00190263202293195,0,0.00225793267820675,0.00240666715863914,0.00154173523848803,0.00255743499586447
MarC6,0.0072469828773089,0.00594837484967471,0.00950304400683886,0.00646053247782456,0.00622120251772806,0.00776024506045406,0.00520686406895818,0.00840407466663241,0.00633753472250434,0.00543164151169588,0.00807221352440876,0.00471648791257232,0.026051962590342,0.00784273081682133,0.00346308386049869,0.00176481065182269,0.00439808643527453,0.00390676098844706,0.00580907660578706,0.00283751508073972,0.00369335049394449,0.00261466120365455,0.00225793267820675,0,0.00466317365237168,0.0017836632745233,0.00629234714216337
MarC7,0.00838847616708464,0.00494539387679047,0.00588518298809716,0.00670378339197043,0.00452287828442097,0.00528897053722369,0.00510847331274809,0.00392744727967167,0.00466999796095452,0.0042087423656777,0.00505291230638023,0.00512847387982633,0.0036874351802678,0.00650273403152106,0.00329978514451056,0.00610773216283997,0.00249712420315178,0.00416211527687842,0.00419423806087188,0.00479023454299292,0.00144710455223261,0.00341140495872187,0.00240666715863914,0.00466317365237168,0,0.00270422289564448,0.00386085636870168
MarC8,0.00542008170921318,0.00511293985200237,0.00625318107103662,0.00549196184252257,0.00369553874582447,0.00521677585630507,0.00498627889115459,0.00238998012086492,0.00507845077786259,0.00448480647665763,0.00276080729617611,0.00299677674830421,0.00179838631655363,0.0048292907692469,0.00190587704970576,0.00136910454931393,0.00343485999791081,0.00118226880345849,0.00195408475948402,0.00210048818082208,0.00232226315501418,0.00115889106749223,0.00154173523848803,0.0017836632745233,0.00270422289564448,0,0.00152826814778092
